,Negative,Neutral,Positive
472,0,0.377,0.623
473,0,0.328,0.672
474,0,0.849,0.151
475,0,0.734,0.266
476,0,0.133,0.867
477,0.051,0.836,0.113
478,0,0.638,0.362
479,0.157,0.733,0.11
480,0,0.756,0.244
481,0,0.625,0.375
482,0,0.887,0.113
483,0,0.73,0.27
484,0,0.589,0.411
485,0,0.182,0.818
486,0,1,0
487,0,0.72,0.28
488,0.056,0.438,0.506
489,0.081,0.84,0.079
490,0.492,0.508,0
491,0.063,0.86,0.077
492,0,1,0
493,0,0.661,0.339
494,0.268,0.732,0
495,0,0.403,0.597
496,0,0,1
497,0,0.238,0.762
498,0,0.238,0.762
499,0,0,1
500,0,0.256,0.744
501,0,0,1
502,0,0,1
503,0,0.256,0.744
504,0,0,1
505,0.143,0.655,0.202
506,0,1,0
507,0,1,0
508,0.196,0.804,0
509,0,1,0
510,0,0.213,0.787
511,0,0,1
512,0,1,0
513,0,0.417,0.583
514,0,1,0
515,0,0.432,0.568
516,0,1,0
517,0,0.663,0.337
518,0,0.408,0.592
519,0,0.406,0.594
520,0.231,0.769,0
521,0,1,0
522,0,0.41,0.59
523,0,0.564,0.436
524,0,0.515,0.485
525,0,0,1
526,0.111,0.889,0
527,0,0.825,0.175
528,0.091,0.909,0
529,0,1,0
530,0,1,0
531,0,1,0
532,0,1,0
533,0.049,0.7,0.25
534,0,0.194,0.806
535,0,0.741,0.259
536,0,1,0
537,0,0.323,0.677
538,0,0.488,0.512
539,0,1,0
540,0.688,0.312,0
541,0,0.417,0.583
542,0,0.543,0.457
543,0,0.393,0.607
544,0,0.508,0.492
545,0,0.658,0.342
546,0,0.922,0.078
547,0.144,0.513,0.343
548,0,1,0
549,0.088,0.843,0.069
550,0,1,0
551,0,0.752,0.248
552,0,1,0
553,0,0.816,0.184
554,0,1,0
555,0,1,0
556,0,0.625,0.375
557,0,0.53,0.47
558,0,1,0
559,0,1,0
560,0,1,0
561,0,1,0
562,0,1,0
563,0,1,0
564,0,0.27,0.73
565,0.3,0.384,0.315
566,0,0.532,0.468
567,0.268,0.65,0.081
568,0.064,0.683,0.253
569,0.128,0.872,0
570,0.126,0.782,0.093
571,0,0.517,0.483
572,0,0.385,0.615
573,0,0.256,0.744
574,0,0.256,0.744
575,0,0.256,0.744
576,0,0.256,0.744
577,0,0.256,0.744
578,0,0.256,0.744
579,0,0.256,0.744
580,0,1,0
581,0.087,0.913,0
582,0,1,0
583,0,0.884,0.116
584,0.268,0.579,0.153
585,0,0.204,0.796
586,0.249,0.653,0.098
587,0,0.818,0.182
588,0.35,0.65,0
589,0.027,0.67,0.304
590,0.192,0.628,0.18
591,0,1,0
592,0,0.707,0.293
593,0,1,0
594,0,1,0
595,0,0.351,0.649
596,0,0.185,0.815
597,0,0.185,0.815
598,0,0.239,0.761
599,1,0,0
600,0.067,0.507,0.427
601,0,0.341,0.659
602,0,0.637,0.363
603,0,0.124,0.876
604,0,0,1
